Sample_ID_Gt,SiO2_Gt,TiO2_Gt,Al2O3_Gt,Cr2O3_Gt,FeOt_Gt,MnO_Gt,MgO_Gt,CaO_Gt,Na2O_Gt,Ti_Gt,Ni_Gt,Zn_Gt,Ga_Gt,Sr_Gt,Y_Gt,Zr_Gt
173/034/K001/167,42.75,0.04,22.03,2.81,7.94,0.22,20.26,4.91,0,239.793777351,13.54,12.09,3.2,,3.36,0.77
173/034/K001/167,42.89,0.09,21.11,2.42,8.85,0.26,19.27,4.7,0,539.535999041,13.56,12.74,5.26,,24.07,40.82
173/034/K007/203,42.39,0,22.14,3.08,8.1,0.28,19.62,4.93,0,0,13.59,12.15,3.53,,5.08,1.34
COY553,42.84,0.07,22.64,2.38,7.15,0.45,20.01,5.03,-0.99,700,13.6,,1.42,,1.78,2.3
173/034/K007/203,42.56,0,22.42,2.13,8.43,0.26,19.87,4.7,0,0,13.6,11.55,3.79,,6.52,3.13
173/034/K001/167,43.12,0.15,22.41,1.96,8.43,0.25,20.19,4.44,0,899.226665068,13.61,12.73,5.19,,16.68,8.22
173/034/K001/167,43.21,0.02,20.6,2.68,8.11,0.31,19.86,4.44,0,119.896888676,13.63,11.95,2.6,,33.1,41.69
173/034/K001/167,42.38,0.04,22.5,2.15,8.3,0.18,19.66,4.59,0,239.793777351,13.63,13.15,4.22,,6.4,1.24
173/034/0021/2,42.78,0.01,21.71,3.8,7.15,0.44,20.53,4.16,0.03,59.9484443379,13.64,0.26,-0.02,,-0.07,83.56
173/034/K001/167,43.15,0.16,22.14,2.24,8.06,0.21,20.01,4.63,0,959.175109406,13.65,13.75,5.66,,19.55,13.24
173/033/K061/73,42.66,0.08,21.87,3.13,8.12,0.46,20.16,4.61,0,479.587554703,13.69,42.93,2.57,,19.49,11.48
173/034/K001/167,43.65,0.14,20.96,2.34,7.74,0.18,20.02,4.61,0,839.27822073,13.7,12.45,4.28,,12.03,12.24
COY553,42.07,0.14,22.39,2.65,7.1,0.56,19.32,4.89,-0.99,1400,13.7,,1.5,,2.46,9.2
